대분류,중분류,뉴스제목
농업/먹거리,농산물/작황,"이상 기후' 수많은 경고음에도...60년 후 김장할 배추·무 못 키운다 [기후변화, 밥상의 위기]"
정치,농정/정책,"전북 농민들 """"벼 재배면적 감축 정책은 영농권 침해""""…철회 촉구"
정치,농정/정책,"정부, 배추 등 농산물 1만1천t 푼다…배·귤도 확대공급"
경제,물가/가격,제철인데…무섭게 가격 오른 '이 과일'
사회,사건/사고,푸바오 왜 이래? 죽순 먹다 팔다리 '덜덜덜' 경련…수의사까지 출동[영상] - 뉴스1
기타,기타,해남에서 맛있는 음식점 어디?…'해남맛집' 6곳 추가지정
농업/먹거리,농산물/작황,"""""바닥 다졌나""""…'바나나맛 우유' 활약에 빙그레 투자한 개미 웃었다"
경제,물가/가격,"""""제철이지만 못먹어요""""…딸기 잼부터 케이크까지 가격 줄인상"
정치,농정/정책,"[단독]의욕 앞섰던 정부…올해 가루쌀 재배면적, 목표치 57.5% 그쳐"
농업/먹거리,농산물/작황,[르포] 38년 성심당맨도 처음 본 '케이크런'…'딸기시루'에 크
기타,기타,[맛있는 이야기] 인삼 못지않은 영약 '더덕'…매콤달콤한 양념 더해지면 풍미 '일품'
농업/먹거리,농산물/작황,"'12kg 감량' 심진화, 아침에 '이 과일' 꼭 먹는다… 어떤 효과 있길래?"
농업/먹거리,농산물/작황,"""딸기부페 갈 돈이면 해외""...요즘 핫한 일본을 단돈 5만원에 왕복한다고?"
경제,물가/가격,"""배추·닭고기 비싸도 너무 비싸""…정부 집중관리 들어간 먹거리는?"
농업/먹거리,농산물/작황,과일씻을때 : 네이버 검색
농업/먹거리,농산물/작황,"노사연 ""이무송과 너무 많이 싸워 집에 깻잎 無""(탐비)"
농업/먹거리,농산물/작황,배추 대신 열무…런치인플레이션에 구내식당 메뉴가 달라진다
농업/먹거리,농산물/작황,벽에 붙인 바나나가 87억…웃음꺼리가 된 현대미술 [0.1초 그 사이] - 헤럴드경제
농업/먹거리,농산물/작황,"尹 관저 앞 금세 동난 '콩나물국'…""""내일 몸으로라도 막아야 하나"""""
사회,사법/치안,"은박 요괴·난방 버스 이어 '콩나물국'…""""尹체포, 몸으로 막자"""""
농업/먹거리,농산물/작황,이상고온 여파…딸기농가 생산량 줄어 '신음'
산업,기업/산업동향,전남산 절임배추·김치 4만 6000달러 어치 미국 수출길…총 8.9톤
농업/먹거리,농산물/작황,채소·과일 '농약' 묻었을까봐 걱정된다면… '이렇게' 씻으세요 - 당신의 건강가이드 헬스조선
건강,영양/의학,"최화정, 강추한 '이 버섯', 최고의 다이어트 식품이라고? - 코메디닷컴"
사회,사건/사고,토마토 체험 농장서 화재…인명피해 없어
농업/먹거리,농산물/작황,"하나로마트 ""22일부터 배추 한 포기에 3천원 대 판매"""
기타,기타,현미밥 계속 먹으면 빈혈 생긴다고?
농업/먹거리,농산물/작황,[고령소식] '고령 딸기' 경북 과수 통합브랜드로 홍콩에 3t 수출
농업/먹거리,농산물/작황,"[단독]""""'음쓰'에 과일, 먹이가 지천에 널렸다""""…韓공항 중 딱 한 곳만 빼고 '새떼 유혹 중'"
경제,물가/가격,'치솟는 카카오 가격'에도 현지농가 재배 포기 속출
농업/먹거리,농산물/작황,"""목에 땅콩 걸린듯 해""...60세男 1년 간격으로 2개 암 걸려, 무슨 일?"
경제,물가/가격,"""설 대목 과일선물세트 10만상자 푼다""…성수품 공급확대·가격안정 '총력'"
경제,수수료/요금,"""창가나 통로 옆 좌석도 돈 내야해?""…항공사 '좌석 선택 수수료' 논란｜동아일보"
농업/먹거리,농산물/작황,파인애플 피자 먹고 싶어요? 18만원 내세요
농업/먹거리,농산물/작황,"녹차 하루 석 잔, 치매 유발 뇌병변 위험 ↓…커피는 무관"
농업/먹거리,농산물/작황,"농진청장, 농업인실용교육 현장서 쌀 재배면적 조정 동참 당부"
경제,수수료/요금,배달 수수료 두고 갈등 지속…프랜차이즈 여전히 반발
생활,식품/음료,생선찌개에 생강 넣고 생강차 꾸준히 마셨더니...몸에 어떤 변화가?
사회,사법/치안,서울구치소 오늘 저녁은 콩나물국…해장국·김치찌개도 나온다
경제,유통/프로모션,"홈플러스, 과일 선물세트 업계 최저가 수준 … 최대 50% 할인혜택도"
건강,영양/의학,"""""육류, 구운버섯 함께 섭취 시 콜레스테롤 감소 효과 있어"""""
건강,영양/의학,"""""적색육 많이 먹으면 치매 위험 13%↑…견과류 대체시 20%↓"""""
경제,수수료/요금,[단독] 폭설 오자 '수수료 15만원' 제시… 배송기사들 위험에 내몬 쿠팡
농업/먹거리,농산물/작황,[담양소식] 지역 생산 딸기 6개국 수출
농업/먹거리,농산물/작황,[리빙포인트] 꼬막 요리엔 마늘
농업/먹거리,농산물/작황,벼 재배면적 8만 ㏊ 줄이면 농업생산액은 60조1000억 원
사회,사법/치안,"""식단은 콩나물국과 불고기""""…외신, 윤 대통령 구치소 식단 주목"
경제,수수료/요금,"IRP, 세금 아끼려다 수수료 왕창!...'계좌전환' 되나요?[똑똑정보] < 사회 < SEOUL PRESS < 기사본문 - 이코노믹리뷰"
농업/먹거리,농산물/작황,"고독사' 그 방에서…햇반 챙겨간 누나, 과일 깎아먹은 부모 | 중앙일보"
경제,수수료/요금,"공정위, 카카오콜 아니면 수수료 금지…업계 """"승차거부 늘어날 것"""""
농업/먹거리,농산물/작황,과일 먹고 '가글'만 해도 될까 < 건강·질병 < 뉴스 < 기사본문 - 매경헬스
농업/먹거리,농산물/작황,"눈물 '쏙' 빼는 양파 매운맛 원인, 韓연구진이 세계 최초로 밝혀냈다"
생활,식품/음료,"달걀 스크램블에 레몬차 한 잔...""따끔따끔 목구멍 통증이 가라앉네"""
경제,수수료/요금,"번개장터 '프로상점' 서비스, 수수료 부과 방식에 판매자 불만 쏟아져 < IT·비즈 < 기사본문 - 뉴스워커"
경제,수수료/요금,부동산PF '만기연장수수료' 폐지…금융권 모범규준 제정
농업/먹거리,농산물/작황,생활의달인' 식혜찹쌀도넛 맛집 '화승꽈배기' 위치 알아보기 < 종합 < 연예 < 기사본문 - 국제뉴스
농업/먹거리,농산물/작황,"세븐틴 호시, 정체불명 된장찌개 먹고 ""감자탕인가요?"" 폭소 (콩콩밥밥)"
사회,사법/치안,"尹 조사 후 구금될 서울구치소, 오늘 저녁은 콩나물국에 불고기"
경제,유통/리테일,제철 맞은 딸기 듬뿍 들어간 '투썸플레이스' 딸기 시즌 케이크 4종 - 인사이트
농업/먹거리,농산물/작황,채정안이 공복에 즐겨먹는 '땅콩버터사과'...어떤 효능이?
농업/먹거리,농산물/작황,"품위저하·소비침체…곶감·샤인머스캣, 설 특수 기대 어려워"
경제,정책/대책,필리핀 바나나 관세 폐지 - 전체 | 카드/한컷 | 멀티미디어
과학/기술,연구/발견,"[100세 과학] 나이 든 생쥐, 노랑느타리버섯 먹고 심장 튼튼해졌다 - 조선비즈"
건강,영양/의학,[건강의학칼럼] 견과류 '이렇게' 먹어야 득…버려야 할 때는? < 오피니언 < 기사본문 - 양산신문
경제,수수료/요금,"[단독] 애플페이 도입 카드사 확산 조짐에…삼성페이, 수수료 부과 '재검토'"
경제,물가/가격,인기 상승' 아열대 작물…재해 보험은 '사각
농업/먹거리,농산물/작황,"30대 여성, 한 달간 과일만 먹었더니…'깜짝' [건강!톡]"
기타,기타,"견과류, 통에 넣어 냉장고에? '여기'에 담아야 산패 막는다"
농업/먹거리,농산물/작황,고기 먹을 때 양파 듬뿍 넣었더니...몸에 어떤 변화가?
농업/먹거리,농산물/작황,누리꾼들 깜짝 놀라게 한 '충격적인 건포도 생산 과정' (사진) | 위키트리
기타,기타,"닥터호두 ""품질·맛 좋은 국산 호두, 신선하고 편하게 먹도록 제공합니다"""
농업/먹거리,농산물/작황,당뇨 환자가 먹어도 좋은 과일 vs 피해야 할 과일 - 코메디닷컴
농업/먹거리,농산물/작황,마시는 포도 → 즐기는 포도로 '와이너리의 무한도전' < 임시 < 기사본문 - 중부매일 - 충청권 대표 뉴스 플랫폼
농업/먹거리,농산물/작황,양양군 신품종딸기 생산 확대나선다
농업/먹거리,농산물/작황,양파 썰 때 눈물 '쏙' 빼는 이 성분...국내 연구진이 최초 원리 밝혀
농업/먹거리,농산물/작황,"이 과일' 주스, 일주일에 5회 이상 마시면… 발기부전 위험 뚝"
정치,농정/정책,"전남농민들 ""벼 재배면적 감축 정책, 폐기하라"""
생활,레시피/요리,종합 윤지민 57kg라더니 입금 전후 확실…11kg 감량 직접 짠 레몬으로 관리하이하이 | 텐아시아
농업/먹거리,농산물/작황,한 달간 과일만 먹은 여성이 겪은 '뜻밖의 부작용'…결국 이렇게 됐다
농업/먹거리,농산물/작황,"""""양파 보기만해도 눈물 나""""…매운맛 원인, 韓연구진이 밝혀냈다"
생활,레시피/요리,[추석음식만들기] 고추전·새우튀김·동그랑땡 만드는 법 '레시피 공개' < 종합 < 사회 < 기사본문 - 국제뉴스
산업,기술/산업,"'사과' 마니아라면 들어봐야 할 사과...잡스 사후 13년 쿡의 애플 ""AI가 시험대"" [이동인의 IT쿨라임]"
농업/먹거리,농산물/작황,프리미엄 쌀' 개발해 소비자 입맛 잡기 '사활
건강,영양/의학,"""요즘 부쩍 빠진다면""…전문가가 꼽은 머리카락 건강에 좋은 음식 5가지"
농업/먹거리,농산물/작황,"""퇴근後 매일 바나나 우유 사오시던 우리 아빠""…제주항공 참사의 슬픈 외침"
농업/먹거리,농산물/작황,"""포도 자체가 식물 아닌가?""...'비건' 와인이 따로 있는 이유는? [전형민의 와인프릭]"
경제,물가/가격,"가격 급등 배추·무…농식품부, 비축물량 하루 200톤 도매시장 방출"
기타,기타,"계란 한 알, 두부 반모, 데친 브로콜리… 사람들이 환호한 점심 사진"
사회,단속/점검,"송미령 장관, 배추·무 비축기지 방문…출하 상황 점검"
경제,수수료/요금,수수료 싼 '당근 앱' 아파트 매매 급증… 법적 분쟁엔 취약
건강,영양/의학,"수십만 원 호가하는 '이 버섯'… 맛·향 좋고, 면역력 개선도"
농업/먹거리,농산물/작황,안성맞춤 겨울 야식 찹쌀떡과 메밀묵
생활,레시피/요리,"전통 떡집 '옛것과 새것의 조화'… 키위·복분자설기, MZ도 홀릭 [김동환의 김기자와 만납시다]"
농업/먹거리,농산물/작황,지금 가장 핫한 고구마 디저트 4! - LIFE | 코스모폴리탄 코리아 (COSMOPOLITAN KOREA)
농업/먹거리,농산물/작황,"추성훈, 유일하게 스무디로 '이 채소' 즐긴다… 몸엔 어떤 효능이?"
농업/먹거리,농산물/작황,"""""콧속에 마늘 넣었더니 신세계""""…말 많은 '틱톡 건강팁' [건강!톡]"
농업/먹거리,농산물/작황,"[TVis] 장원영, 평소 무엇 먹을까…""디저트 한입에 우유·두유·아몬드 한 컵씩"" (냉부해)"
기타,기타,"[단독]한 달 새 100만개 팔린 '이장우 호두과자', 부산 간다"
농업/먹거리,농산물/작황,고구마를 자주 먹었을 때 우리 몸 속에서 일어나는 변화 | 위키트리
농업/먹거리,농산물/작황,나를 위해 챙겨 먹자! 건강에 좋은 고섬유질 과일 8
경제,수수료/요금,다낭 항공권 취소했더니 수수료 30만원…소비자피해 주의보
농업/먹거리,농산물/작황,대구 마늘가게 상품권깡 때문에...전국 주류샵 설명절 대목 놓칠판 [푸디人]
경제,물가/가격,"설 차례상, 4인 가족 기준 ""33만 원 돌파"".. 배·콩나물도 '폭등', 물가 한파 몰아친다"
농업/먹거리,농산물/작황,"오늘도 먹네…NCT 127, 공연 도중 샤인머스캣→바나나 먹방 """"양해 부탁"""" [엑's 현장]"
건강,영양/의학,온 가족 건강 지켜주는 '홍삼' 설 선물로 인기
경제,수수료/요금,"요기요, ""배민·쿠팡이츠와 달라""…매출 상위 수수료 4.7%로 낮춰 상생 강화 - 이투데이"
농업/먹거리,농산물/작황,장성군 농산물 올해 첫 미국 수출!
농업/먹거리,농산물/작황,"장원영 냉장고 최초 공개, 미식가+마를 수밖에 없는 채소러버 입맛(냉부해)"
농업/먹거리,농산물/작황,"전남도, 마늘·양파 경작신고로 농업경영체 변경까지 한번에"
사회,단속/점검,"정부, 설 성수기 배추·무 유통 실태 점검…""""불공정행위 찾는다"""""
사회,단속/점검,"정부, 설 앞두고 배추·무 유통 실태 전반 점검"
농업/먹거리,농산물/작황,"""""1층선 쌀 재배, 2층엔 돼지농장…농지개념 확 바꾼다"""""
농업/먹거리,농산물/작황,"""""설 차례 안 지낸다"""" 51.5%…인기 선물 품목은 '과일'"
경제,물가/가격,"""""알몸 김치? '금배추'가 더 무섭다""""…중국산 김치 수입액 '역대 최고'"
농업/먹거리,농산물/작황,"""""치즈를 완두콩으로 만든다?""""...식물성 치즈, 영양은 어떨까?"
건강,영양/의학,"""""하루에 녹차 '이만큼' 마시면 치매예방 효과 있다"""""
농업/먹거리,농산물/작황,"[밀당365] 신선한 '이 과일', 혈당뿐 아니라 눈·수면 건강에도 이로워"
경제,수수료/요금,"'주7일 배송' CJ대한통운 택배기사들 ""기본시급 안되는 수수료에 휴일 반납"""
농업/먹거리,농산물/작황,100만원 한우 불티나는 백화점… 5만원 과일도 안 나가는 마트
기타,기타,①9900원 세트 ②골드망고 대신 애플망고…'초가성비'가 강세된 설 선물세트
건강,영양/의학,"고혈압엔 표고, 다이어트엔 팽이…건강만점 '버섯'"
경제,수수료/요금,기껏 상생안 만들었더니…'배달수수료 법' 생기나
농업/먹거리,농산물/작황,"단양군, 우량 씨마늘 20t 농가 보급…내달 14일까지 수요조사"
경제,물가/가격,더럽다고 기피했는데…배춧값 폭등하자 한국 점령한 '중국산 김치'
농업/먹거리,농산물/작황,딸기 위에 딸기 얹은 이곳... 입맛 사로잡은 서울 시내 이 호텔
농업/먹거리,농산물/작황,"문가영♥최현욱, 초밀착 투샷 공개..애칭은 '흑염룡♥딸기'('그놈은 흑염룡')"
경제,물가/가격,배 줄이고 사과 채운 선물세트…더 비싸진 제수물가에 낱개로 산다
경제,수수료/요금,"법정수수료 59만인데, 200만원 받은 공인중개사 수사 의뢰"
농업/먹거리,농산물/작황,부산 엄궁·반여농산물시장 잔류농약 검사서 1.5% 부적합…전량 폐기
경제,물가/가격,"사과 생산 늘었다는데 여전히 '금사과', 왜?"
경제,수수료/요금,"선물하기' 배송비에 수수료 부과한 카카오‥공정위, '자진시정' 동의의결 절차 개시"
경제,유통/리테일,세븐일레븐-안유성 명장 설 앞두고 '마늘갈비정식' 도시락 선보여
경제,수수료/요금,신한·국민도 애플페이 만지작… 수수료 부담 '혜자카드' 어쩌나
농업/먹거리,농산물/작황,"심영순 """"딸 헌신으로 췌장암 극복…1년간 매일 채소탕 끓여줘""""('4인용식탁')"
경제,수수료/요금,"알리익스프레스, 韓 셀러 해외 진출 지원…""""5년간 수수료 면제"""""
농업/먹거리,농산물/작황,옥수수·콩·포도씨…'씨앗 기름' 정말 건강에 나쁠까?
농업/먹거리,농산물/작황,"중국산 김치, 우리 식탁 점령?…역대 최대 31만톤 수입"
농업/먹거리,농산물/작황,차례상 과일 올해는 하나만?…구입비 평균보니
농업/먹거리,농산물/작황,취약계층에 신선 농산물 지원 '농식품 바우처' 전국 시행
경제,물가/가격,"""""감귤 나왔네"""" 1박스 들었다가 가격에 깜짝…한달 새 22% 뛰었다"
농업/먹거리,농산물/작황,"""""귤 딸 사람 구해요"""", """"구좌 당근 포장하실 분""""…알바 자리 쏟아지는 제주"
생활,레시피/요리,"""""유자간장 드레싱""""…'편스토랑' 이정현, 쭈꾸미연포탕-참나물쭈꾸미샐러드 레시피 공개 - 김효진 기자 - 톱스타뉴스"
농업/먹거리,농산물/작황,[단독]'벼 재배면적조정제' 손본다…농가별 감축면적 할당 폐지
기타,기타,"[영상]사탕수수 팔던 코끼리, 갑자기 코와 발로 사람들 밀어버린 이유"
정치,농정/정책,[팩트체크] 조금이라도 싹이 난 감자는 버려야 한다? < 정책/사회 < 기사본문 - 뉴스톱
농업/먹거리,농산물/작황,[포토] 설 앞두고 가득 쌓인 과일상자
농업/먹거리,농산물/작황,"'4인용식탁' 심영순 ""딸이 끓인 채소탕 1년 먹고 췌장암 완치 기적"" [어제TV]"
기타,기타,'여성 갱년기' 피해야 할 5가지 영양제 - 레이디경향
농업/먹거리,농산물/작황,"""감귤 딸 사람 구해요""...제주도, 당근알바 사용률 비수도권 중 '1위'"
농업/먹거리,농산물/작황,"""국산 농산물 6만7000원 구입하면 2만원 돌려드려요""…경북 전통시장 10곳"
경제,유통/프로모션,"경북 청도군 """"한재 미나리 드시면 레일바이크 10% 할인"""""
농업/먹거리,농산물/작황,고기 먹을 때 버섯·김치 같이 굽는 이유 있었다
건강,영양/의학,"노화 촉진 음식 6가지…어라, '○○'도 포함?"
사회,사법/치안,"농진청 """"설 제수용 사과·배, 이렇게 고르세요"""""
농업/먹거리,농산물/작황,더럽다고 기피했는데…2700억대 중국산 김치 또다시 '한국 점령'
기타,기타,"롯데이네오스화학, 울산 어르신 위해 '사랑의 백미 나눔'"
생활,식품/음료,"맨해튼 카페 점령했다는 동양의 초록색 '이 식물', 말차 아니라고?!"
농업/먹거리,농산물/작황,"버려지는 '못난이 농산물' 어쩌나…""""유통 활성화 방안 시급"""""
건강,영양/의학,혈당 관리에 효과적인 '5가지 아침 습관'
농업/먹거리,농산물/작황,"""""과일도 고기도 덜먹어요""""…찬바람 부는 전통시장"
경제,물가/가격,"""""과일 줄게 현금 다오"""" 고물가·불황에 설 선물 '동상이몽'"
농업/먹거리,농산물/작황,"""""탄산수, 포도당흡수·신진대사 촉진…체중감량 효과는 미미"""""
경제,수수료/요금,"[속보] 배민, 내달 26일부터 수수료 내린다"
농업/먹거리,농산물/작황,"""과일 싸고 맛 좋은데""…불황 속 설 선물 구색맞추기 분주"
농업/먹거리,농산물/작황,"""물에 '이 채소' 넣어 마시세요""… 英 유명 의사, 금방 살 빠졌다는데?"
경제,수수료/요금,"""치킨값 내려갈까""…배민, 내달 26일 수수료 내린다"
농업/먹거리,농산물/작황,"감자 사러 갔다 발견한 바위, 80개 루트 암장으로 변신 [Man&Wall 고령 우곡 수리암장]"
농업/먹거리,농산물/작황,감자 전래 200년에 '감자 선진국'…기후 변화는 도전
농업/먹거리,농산물/작황,매일 '이 과일' 한 개 먹으면...女 뱃살 쏙 빠진다고?
경제,수수료/요금,"배달의민족, 2월 26일부터 수수료 '2.0∼7.8%'로 인하"
경제,수수료/요금,"배달의민족, '상생안' 본격 실행…수수료 최대 7.8%P 인하"
경제,수수료/요금,"배민, 26일부터 배달수수료 '상생요금제' 적용"
경제,수수료/요금,"배민, 수수료 '2.0∼7.8%'로 내린다…배민클럽 전국 확대(종합)"
사회,사건/사고,보리차만 먹다 뇌손상으로 숨진 아기…수목장 치러준 검찰
사회,사건/사고,보리차만 먹다 숨진 아기…수목장 치러준 검찰
농업/먹거리,농산물/작황,"설빙, 제철 생딸기로 만든 디저트 잘 나간다"
기타,기타,신기루 야채 식단에 비둘기가 좋아하는 건가요…12살 연상 신애라에게 불만 표출애라원 | 텐아시아
농업/먹거리,농산물/작황,쌀도 채소도 화장품도 양 적게…가성비에 '소포장' 상품 불티
농업/먹거리,농산물/작황,"중국 공세에도 역공하는 일화, 보리 탄산음료 '맥콜' 중국에 정식 수출"
농업/먹거리,농산물/작황,집에서도 간단! 믹서 하나로 만드는 '바나나 귀리 머핀'
농업/먹거리,농산물/작황,"컵라면 먹을 때 달걀, 바나나 추가했더니...몸에 어떤 변화가?"
농업/먹거리,농산물/작황,"쿠팡, '블랙리스트' 첫 사과‥""""광범위 수집 죄송‥언론사 등 소송 취하"""""
경제,물가/가격,"""""배 한 개에 만 원이요?""""…역대급 과일 가격에 '낱개'로 구매하는 사람들"
농업/먹거리,농산물/작황,"""""이 얼굴이 54세?"""" 20대 탄력가진 女...하루 한 개 '이 과일'이 비결?"
사회,단속/점검,"(주)대륜이엔에스, 가스레인지 점검 봉사··· 의정부시에 백미 기부도"
농업/먹거리,농산물/작황,[D리포트] 한겨울 포근한 이곳 한라봉이 주렁주렁…17년 만에 '최적지' 부상
농업/먹거리,농산물/작황,[Enjoy Life - 건강] 대상포진 강력한 방패… 면역력 높일 현미ㆍ채소ㆍ오징어
농업/먹거리,농산물/작황,"[르포] ""金사과·金배 선물 세트 2만5000원 싸게 샀어요""… 설 연휴 앞둔 직거래장터 가보니"
농업/먹거리,농산물/작황,"""사과는 묵직한 것, 배는 매끈한 것""…설 명절 실패 없는 과일 구매법"
농업/먹거리,농산물/작황,"""이 상품 주면 기부 할 만하지""…고향사랑 답례품 2위는 제주감귤, 1위는?"
경제,수수료/요금,교통카드 우선협상 '마이비'… 꼼수 수수료율로 선정 의혹
농업/먹거리,농산물/작황,농산물로 만든 가공품.. 판로 확대 대안되나
산업,기업/산업동향,"매일유업, '썬업 과일야채샐러드 주스 퍼플' 출시"
경제,수수료/요금,"배달수수료 내리는데…배달 많은 업체 반발, 왜?"
농업/먹거리,농산물/작황,벼 재배면적 일방적 감축…농민들 '혼란'
사회,사건/사고,보리차만 먹다 숨진 두 살배기…검찰이 수목장 치러줬다
농업/먹거리,농산물/작황,오이하다·자몽하다·포도하다 뜻이 있었다…과일과 전혀 무관 : 국제신문
경제,수수료/요금,우대수수료 인하에 카드사 '난감'…소비자 혜택도 줄어들 듯 < 뉴스분석 < 금융 < 경제 < 기사본문 - 뉴스워치
사회,사법/치안,"크레아팜, 윤병락 작가와 추석 맞이 특별 장수사과 선물세트 선보여 < 사회일반 < 사회 < 기사본문 - 문화뉴스"
농업/먹거리,농산물/작황,홍삼선물 가담한 강인규 전 나주시장 아들 '1심 무죄→2심 유죄'
농업/먹거리,농산물/작황,"""""성심당 딸기시루 두고 내렸어요""""…작년 기차역·열차 '유실물' 30만개"
기타,기타,"""""이제 오렌지도 못 사먹겠네""""…악재 덮쳤다 '비명'"
농업/먹거리,농산물/작황,"벼 재배면적 감축, 농가 참여 유도 확실한 보상책 내놔야"
농업/먹거리,농산물/작황,"고립 주민들 함께 채소·벌 키웠더니 ""살맛 납니다"""
경제,금융/증권,국민연금 月300만원 넘는 수급자 처음 나왔다…비결은 두 가지
경제,수수료/요금,내년부터 고졸 검정고시 응시 수수료 안낸다! - 머니투데이
경제,수수료/요금,수수료 모두 공짜라더니…4조원 몰렸다
경제,수수료/요금,"수수료 전면 무료' 이 계좌, 3주에 1조원씩 몰렸다"
생활,식품/음료,이제 오렌지주스도 못 사먹겠네…초유의 상황에 비명 | 한국경제
농업/먹거리,농산물/작황,"제주, '당근알바' 전국 1위.. ""감귤도 당근도, 일손 전쟁 중!"""
기타,기타,지구상 유일 자생 멸종위기 1등급 '제주고사리삼' 번식 포착 [제주Zoom]
경제,유통/리테일,"투썸플레이스, 생딸기 듬뿍 올린 '스트로베리 시즌 케이크' 론칭"
산업,기업/산업동향,"""""출시와 동시에 완판""""…구미서 자란 천혜향·레드향 대박행진"
여행/외식,호텔/외식,"""""호두과자가 아니네""""…명절 휴게소에서 22억원어치 팔린 '이것'"
산업,기업/산업동향,"""""호두과자보다 많이 팔렸다"""" 고속도로 휴게소에서 '매출 22억 원' 명절 인기 메뉴는?"
산업,기업/산업동향,"""""호두과자 아니었어?""""…'매출 22억' 명절 휴게소 인기메뉴 1위는"
농업/먹거리,농산물/작황,[신상잇슈] 오뚜기 '순후추 팝콘'·노브랜드버거 '통마늘 베이컨'
농업/먹거리,농산물/작황,"""'배추·무' 해외서 길러요"" 글로벌 농장 어디 될까"
여행/외식,호텔/외식,"""호두과자 아니었다"" 22억어치 팔린 휴게소 인기 메뉴 1위는"
농업/먹거리,농산물/작황,"감자튀김 즐기는 남성, 性기능 약해질 수도… 대신 '이것' 드세요"
산업,기업/산업동향,고속도로 휴게소 판매 2위는 호두과자...매출 22억 1위는?
기타,기타,"귀리+현미밥 꾸준히 먹었더니, 지방-혈관에 변화가? - 코메디닷컴"
산업,기업/산업동향,명절 고속도로 휴게소 최다매출 아메리카노·호두과자·우동…매출 1위 행담도휴게소
여행/외식,호텔/외식,명절 연휴에만 22억 넘게 팔았다…호두과자 제친 휴게소 인기 메뉴
여행/외식,호텔/외식,"명절 휴게소 인기메뉴 1위, 호두과자 제친 이것"
여행/외식,호텔/외식,명절 휴게소 인기 음식… 호두과자 제치고 1위 오른 이것
농업/먹거리,농산물/작황,배스킨라빈스 홍시 모찌 칼로리 : 네이버 검색
농업/먹거리,농산물/작황,"부산시, 임산부 친환경농산물 꾸러미 지원사업 진행 < 사회 < 뉴스 < 기사본문 - NBN미디어"
농업/먹거리,농산물/작황,분홍 소시지·과일 사라다… 추억서 샘솟는 위로
경제,수수료/요금,설 용돈도 '송금'하는 시대…○○쓰면 수수료 4만원 아낀다고?
기타,기타,"엄정화, """"혈액순환 잘 된다""""...아침에 올리브유 '이렇게' 먹는다고?"
농업/먹거리,농산물/작황,제주에서 신품종 콩나물 탄생…빨리 자라고 수확작업 수월
건강,영양/의학,차 마시면 혈당에 도움… 녹차 말고 뭐가 좋을까?
여행/외식,호텔/외식,호두과자 눌렀다…휴게소 마다 '주문 쇄도'
산업,기업/산업동향,호두과자 아니었어?…명절 휴게소 최대 매출 메뉴 '이것'
여행/외식,호텔/외식,호두과자 제치고 1위 등극…명절 휴게소서 22억원어치 팔린 '이것'
생활,식품/음료,홍차만 나오는 줄 알았는데… 재발견한 인도양의 숨은 보물섬
농업/먹거리,농산물/작황,"""""선물 다 곯겠네"""" 사과·배 갈아 벌컥벌컥…병만 더 깊어진다"
농업/먹거리,농산물/작황,"""""아까운데 왜 남겨"""" 사과·배 갈아 벌컥벌컥…오히려 건강에 독?"
농업/먹거리,농산물/작황,"""아이 둘 낳고 유지 중""… 소율, 납작배 비결은 '두 가지 채소' 먹기?"
경제,유통/프로모션,"농식품부 """"우리 농산물 구매하고 온누리상품권 받아가세요"""" - 뉴스핌"
사회,사건/사고,불법 중국산 고춧가루 제조업자 징역 4년·80억원 추징
농업/먹거리,농산물/작황,"사과-배, 기름진 식사 후 꼭 먹었더니...몸에 어떤 변화가?"
기타,기타,생방송 오늘저녁' 횡성 곤드레더덕김밥·나주 국밥집 등 맛집 공개 - CBC뉴스 | CBCNEWS
산업,기업/산업동향,"서산시, 서산 쌀과 생강으로 만든 '서산해쌀샌드' 출시! < 사회 < 뉴스 < 기사본문 - 서산태안신문"
농업/먹거리,농산물/작황,설날 명절' 백종원표 도라지무침·도라지나물볶음 만드는 법 < 종합 < 사회 < 기사본문 - 국제뉴스
경제,물가/가격,설 물가 또 올랐다… 채소·과일·수산물 작년보다 비싸
경제,물가/가격,"설 성수품 물가, 배추·참조기 비싸고 사과·한우 지난해 수준"
경제,물가/가격,"설 성수품 물가…""배추·참조기 비싸고 사과·한우 지난해 수준"""
경제,물가/가격,"설 성수품 물가는…""""배추·무·고등어 올라…사과는 작년 수준"""""
농업/먹거리,농산물/작황,"아침에 먹는 양배추, 사과의 조합.. 어떤 변화가? - 코메디닷컴"
경제,물가/가격,"역대급 지원속에 역대급 채소·과일값…무 95%↑, 배 45%↑ 껑충"
농업/먹거리,농산물/작황,"올 설에는 배 대신 샤인머스캣, 등심 대신 갈비...왜?"
농업/먹거리,농산물/작황,의령군 임산부 친환경농산물 꾸러미 신청 - 경남도민신문
농업/먹거리,농산물/작황,전남서 생산한 아열대 과일 설 명절 선물로 '인기'
농업/먹거리,농산물/작황,"채소 색깔별로 적합한 조리법 달라… 흰색은 고기와 익혀서, 초록색은?"
농업/먹거리,농산물/작황,"충남농기원, 딸기 신품종 '조이베리' 품종보호권 획득"
농업/먹거리,농산물/작황,"""""심장병 막고 쾌변까지""""…매일 '이 과일' 한 줌, 놀라운 일 생겼다"
농업/먹거리,농산물/작황,"""""죽다 살았다"""" 이승연 괴롭힌 노로바이러스…굴보다 위험한 '채소'"
농업/먹거리,농산물/작황,"""""한 달 전부터 주문해야 가능""""…베트남서 난리 난 과일"
